,State,Total Cases-State,New Cases-State,Total Deaths-State,New Deaths-State,Fatality Rate-State,Date-State
21942,California,852410,3334,16567,81,0.0194,2020-10-10
21943,California,852410,3334,16567,81,0.0194,2020-10-10
21959,California,852410,3334,16567,81,0.0194,2020-10-10
21972,California,852410,3334,16567,81,0.0194,2020-10-10
21971,California,852410,3334,16567,81,0.0194,2020-10-10
21970,California,852410,3334,16567,81,0.0194,2020-10-10
21969,California,852410,3334,16567,81,0.0194,2020-10-10
21968,California,852410,3334,16567,81,0.0194,2020-10-10
21967,California,852410,3334,16567,81,0.0194,2020-10-10
21966,California,852410,3334,16567,81,0.0194,2020-10-10
21965,California,852410,3334,16567,81,0.0194,2020-10-10
21964,California,852410,3334,16567,81,0.0194,2020-10-10
21963,California,852410,3334,16567,81,0.0194,2020-10-10
21962,California,852410,3334,16567,81,0.0194,2020-10-10
21961,California,852410,3334,16567,81,0.0194,2020-10-10
21960,California,852410,3334,16567,81,0.0194,2020-10-10
21958,California,852410,3334,16567,81,0.0194,2020-10-10
21944,California,852410,3334,16567,81,0.0194,2020-10-10
21957,California,852410,3334,16567,81,0.0194,2020-10-10
21956,California,852410,3334,16567,81,0.0194,2020-10-10
21955,California,852410,3334,16567,81,0.0194,2020-10-10
21954,California,852410,3334,16567,81,0.0194,2020-10-10
21953,California,852410,3334,16567,81,0.0194,2020-10-10
21952,California,852410,3334,16567,81,0.0194,2020-10-10
21951,California,852410,3334,16567,81,0.0194,2020-10-10
21950,California,852410,3334,16567,81,0.0194,2020-10-10
21949,California,852410,3334,16567,81,0.0194,2020-10-10
21948,California,852410,3334,16567,81,0.0194,2020-10-10
21947,California,852410,3334,16567,81,0.0194,2020-10-10
21946,California,852410,3334,16567,81,0.0194,2020-10-10
21945,California,852410,3334,16567,81,0.0194,2020-10-10
21911,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21910,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21909,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21862,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21875,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21874,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21873,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21872,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21871,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21870,Indiana,133411,1918,3782,21,0.0283,2020-10-10
