State,Total Cases,New Cases,Total Deaths,New Deaths,Fatality Rate,Latitude,Longitude,Date
Alabama,157,26,0,0,0,32.3182,-86.9023,2020-03-22
Alaska,20,5,0,0,0,61.3707,-152.4044,2020-03-22
Arizona,152,34,2,1,0.0132,33.7298,-111.4312,2020-03-22
Arkansas,165,43,0,0,0,34.9697,-92.3731,2020-03-22
California,1646,282,30,6,0.0182,36.1162,-119.6816,2020-03-22
Colorado,591,201,6,2,0.0102,39.0598,-105.3111,2020-03-22
Connecticut,327,133,8,4,0.0245,41.5978,-72.7554,2020-03-22
Delaware,56,11,0,0,0,39.3185,-75.5071,2020-03-22
District of Columbia,204,127,2,1,0.0098,38.8974,-77.0268,2020-03-22
Florida,1004,345,13,0,0.0129,27.7663,-81.6868,2020-03-22
Georgia,621,114,25,11,0.0403,33.0406,-83.6431,2020-03-22
Idaho,42,6,0,0,0,44.2405,-114.4788,2020-03-22
Illinois,1049,296,9,3,0.0086,40.3495,-88.9861,2020-03-22
Indiana,204,76,6,2,0.0294,39.8494,-86.2583,2020-03-22
Iowa,90,22,0,0,0,42.0115,-93.2105,2020-03-22
Kansas,65,8,2,0,0.0308,38.5266,-96.7265,2020-03-22
Kentucky,103,16,3,0,0.0291,37.6681,-84.6701,2020-03-22
Louisiana,837,252,20,4,0.0239,31.1695,-91.8678,2020-03-22
Maine,89,19,0,0,0,44.6939,-69.3819,2020-03-22
Maryland,244,51,3,1,0.0123,39.0639,-76.8021,2020-03-22
Massachusetts,646,121,5,4,0.0077,42.2302,-71.5301,2020-03-22
Michigan,1035,247,9,4,0.0087,43.3266,-84.5361,2020-03-22
Minnesota,167,29,1,0,0.006,45.6945,-93.9002,2020-03-22
Mississippi,207,67,1,0,0.0048,32.7416,-89.6787,2020-03-22
Missouri,87,13,3,0,0.0345,38.4561,-92.2884,2020-03-22
Montana,34,13,0,0,0,46.9219,-110.4544,2020-03-22
Nebraska,51,13,0,0,0,41.1254,-98.2681,2020-03-22
Nevada,190,29,2,0,0.0105,38.3135,-117.0554,2020-03-22
New Hampshire,74,19,0,0,0,43.4525,-71.5639,2020-03-22
New Jersey,1914,587,20,4,0.0104,40.2989,-74.521,2020-03-22
New Mexico,57,14,0,0,0,34.8405,-106.2485,2020-03-22
New York,15800,4090,117,57,0.0074,42.1657,-74.9481,2020-03-22
North Carolina,305,52,0,0,0,35.6301,-79.8064,2020-03-22
North Dakota,28,0,0,0,0,47.5289,-99.784,2020-03-22
Ohio,356,108,3,0,0.0084,40.3888,-82.7649,2020-03-22
Oklahoma,67,14,2,1,0.0299,35.5653,-96.9289,2020-03-22
Oregon,161,47,5,0,0.0311,44.572,-122.0709,2020-03-22
Pennsylvania,509,113,4,2,0.0079,40.5908,-77.2098,2020-03-22
Rhode Island,83,17,0,0,0,41.6809,-71.5118,2020-03-22
South Carolina,196,25,3,0,0.0153,33.8569,-80.945,2020-03-22
South Dakota,21,7,1,0,0.0476,44.2998,-99.4388,2020-03-22
Tennessee,505,134,2,1,0.004,35.7478,-86.6923,2020-03-22
Texas,643,62,7,2,0.0109,31.0545,-97.5635,2020-03-22
Utah,162,26,1,1,0.0062,40.15,-111.8624,2020-03-22
Vermont,52,23,2,0,0.0385,44.0459,-72.7107,2020-03-22
Virginia,220,64,6,4,0.0273,37.7693,-78.17,2020-03-22
Washington,1997,204,97,3,0.0486,47.4009,-121.4905,2020-03-22
West Virginia,16,8,0,0,0,38.4912,-80.9545,2020-03-22
Wisconsin,381,99,4,0,0.0105,44.2685,-89.6165,2020-03-22
Wyoming,26,3,0,0,0,42.756,-107.3025,2020-03-22
Alabama,196,39,0,0,0,32.3182,-86.9023,2020-03-23
Alaska,30,10,0,0,0,61.3707,-152.4044,2020-03-23
Arizona,235,83,2,0,0.0085,33.7298,-111.4312,2020-03-23
Arkansas,192,27,0,0,0,34.9697,-92.3731,2020-03-23
California,2108,462,39,9,0.0185,36.1162,-119.6816,2020-03-23
Colorado,704,113,7,1,0.0099,39.0598,-105.3111,2020-03-23
Connecticut,415,88,10,2,0.0241,41.5978,-72.7554,2020-03-23
Delaware,68,12,0,0,0,39.3185,-75.5071,2020-03-23
District of Columbia,120,-84,2,0,0.0167,38.8974,-77.0268,2020-03-23
Florida,1227,223,18,5,0.0147,27.7663,-81.6868,2020-03-23
Georgia,772,151,25,0,0.0324,33.0406,-83.6431,2020-03-23
Idaho,68,26,0,0,0,44.2405,-114.4788,2020-03-23
Illinois,1285,236,12,3,0.0093,40.3495,-88.9861,2020-03-23
Indiana,270,66,7,1,0.0259,39.8494,-86.2583,2020-03-23
Iowa,105,15,0,0,0,42.0115,-93.2105,2020-03-23
Kansas,84,19,2,0,0.0238,38.5266,-96.7265,2020-03-23
Kentucky,123,20,4,1,0.0325,37.6681,-84.6701,2020-03-23
Louisiana,1172,335,35,15,0.0299,31.1695,-91.8678,2020-03-23
Maine,107,18,0,0,0,44.6939,-69.3819,2020-03-23
Maryland,290,46,3,0,0.0103,39.0639,-76.8021,2020-03-23
Massachusetts,777,131,9,4,0.0116,42.2302,-71.5301,2020-03-23
Michigan,1329,294,15,6,0.0113,43.3266,-84.5361,2020-03-23
Minnesota,234,67,1,0,0.0043,45.6945,-93.9002,2020-03-23
Mississippi,249,42,1,0,0.004,32.7416,-89.6787,2020-03-23
Missouri,187,100,4,1,0.0214,38.4561,-92.2884,2020-03-23
Montana,34,0,0,0,0,46.9219,-110.4544,2020-03-23
Nebraska,51,0,0,0,0,41.1254,-98.2681,2020-03-23
Nevada,245,55,4,2,0.0163,38.3135,-117.0554,2020-03-23
New Hampshire,101,27,1,1,0.0099,43.4525,-71.5639,2020-03-23
New Jersey,2844,930,27,7,0.0095,40.2989,-74.521,2020-03-23
New Mexico,83,26,0,0,0,34.8405,-106.2485,2020-03-23
New York,20884,5084,158,41,0.0076,42.1657,-74.9481,2020-03-23
North Carolina,353,48,0,0,0,35.6301,-79.8064,2020-03-23
North Dakota,30,2,0,0,0,47.5289,-99.784,2020-03-23
Ohio,443,87,6,3,0.0135,40.3888,-82.7649,2020-03-23
Oklahoma,81,14,2,0,0.0247,35.5653,-96.9289,2020-03-23
Oregon,191,30,5,0,0.0262,44.572,-122.0709,2020-03-23
Pennsylvania,698,189,6,2,0.0086,40.5908,-77.2098,2020-03-23
Rhode Island,106,23,0,0,0,41.6809,-71.5118,2020-03-23
South Carolina,298,102,5,2,0.0168,33.8569,-80.945,2020-03-23
South Dakota,28,7,1,0,0.0357,44.2998,-99.4388,2020-03-23
Tennessee,614,109,2,0,0.0033,35.7478,-86.6923,2020-03-23
Texas,758,115,9,2,0.0119,31.0545,-97.5635,2020-03-23
Utah,257,95,1,0,0.0039,40.15,-111.8624,2020-03-23
Vermont,75,23,5,3,0.0667,44.0459,-72.7107,2020-03-23
Virginia,254,34,6,0,0.0236,37.7693,-78.17,2020-03-23
Washington,2221,224,109,12,0.0491,47.4009,-121.4905,2020-03-23
West Virginia,16,0,0,0,0,38.4912,-80.9545,2020-03-23
Wisconsin,425,44,5,1,0.0118,44.2685,-89.6165,2020-03-23
Wyoming,26,0,0,0,0,42.756,-107.3025,2020-03-23
Alabama,242,46,0,0,0,32.3182,-86.9023,2020-03-24
Alaska,34,4,0,0,0,61.3707,-152.4044,2020-03-24
Arizona,326,91,5,3,0.0153,33.7298,-111.4312,2020-03-24
Arkansas,219,27,2,2,0.0091,34.9697,-92.3731,2020-03-24
California,2538,430,50,11,0.0197,36.1162,-119.6816,2020-03-24
Colorado,723,19,8,1,0.0111,39.0598,-105.3111,2020-03-24
Connecticut,618,203,12,2,0.0194,41.5978,-72.7554,2020-03-24
Delaware,104,36,0,0,0,39.3185,-75.5071,2020-03-24
District of Columbia,141,21,2,0,0.0142,38.8974,-77.0268,2020-03-24
Florida,1412,185,18,0,0.0127,27.7663,-81.6868,2020-03-24
Georgia,1026,254,32,7,0.0312,33.0406,-83.6431,2020-03-24
Idaho,81,13,0,0,0,44.2405,-114.4788,2020-03-24
Illinois,1537,252,16,4,0.0104,40.3495,-88.9861,2020-03-24
Indiana,368,98,12,5,0.0326,39.8494,-86.2583,2020-03-24
Iowa,124,19,0,0,0,42.0115,-93.2105,2020-03-24
Kansas,100,16,2,0,0.02,38.5266,-96.7265,2020-03-24
Kentucky,162,39,4,0,0.0247,37.6681,-84.6701,2020-03-24
Louisiana,1388,216,46,11,0.0331,31.1695,-91.8678,2020-03-24
Maine,118,11,0,0,0,44.6939,-69.3819,2020-03-24
Maryland,349,59,4,1,0.0115,39.0639,-76.8021,2020-03-24
Massachusetts,1159,382,11,2,0.0095,42.2302,-71.5301,2020-03-24
Michigan,1793,464,24,9,0.0134,43.3266,-84.5361,2020-03-24
Minnesota,261,27,1,0,0.0038,45.6945,-93.9002,2020-03-24
Mississippi,320,71,1,0,0.0031,32.7416,-89.6787,2020-03-24
Missouri,257,70,7,3,0.0272,38.4561,-92.2884,2020-03-24
